
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        856 K
Registry                       124 Services                   0     37.072 K
smss.exe                       556 Services                   0      1.032 K
csrss.exe                      868 Services                   0      5.780 K
wininit.exe                    968 Services                   0      5.308 K
services.exe                   368 Services                   0      9.172 K
lsass.exe                      704 Services                   0     25.304 K
svchost.exe                    892 Services                   0     31.380 K
fontdrvhost.exe               1040 Services                   0      3.812 K
svchost.exe                   1180 Services                   0     28.748 K
svchost.exe                   1228 Services                   0     16.576 K
svchost.exe                   1460 Services                   0     15.152 K
svchost.exe                   1496 Services                   0      5.420 K
NVDisplay.Container.exe       1744 Services                   0     14.352 K
svchost.exe                   1772 Services                   0      5.428 K
svchost.exe                   1780 Services                   0      3.596 K
svchost.exe                   1788 Services                   0     25.048 K
svchost.exe                   1796 Services                   0     12.692 K
svchost.exe                   1804 Services                   0     14.256 K
svchost.exe                   2000 Services                   0     13.684 K
svchost.exe                   2044 Services                   0     14.684 K
svchost.exe                   1340 Services                   0     14.852 K
svchost.exe                   2092 Services                   0      7.872 K
svchost.exe                   2252 Services                   0     11.940 K
svchost.exe                   2260 Services                   0     15.708 K
svchost.exe                   2268 Services                   0     36.312 K
svchost.exe                   2284 Services                   0     12.516 K
svchost.exe                   2360 Services                   0     13.804 K
svchost.exe                   2408 Services                   0     13.916 K
svchost.exe                   2416 Services                   0      5.176 K
Memory Compression            2468 Services                   0    146.128 K
svchost.exe                   2476 Services                   0     13.836 K
igfxCUIService.exe            2572 Services                   0      7.848 K
svchost.exe                   2608 Services                   0     15.136 K
svchost.exe                   2672 Services                   0      9.332 K
svchost.exe                   2740 Services                   0     14.932 K
svchost.exe                   2748 Services                   0      2.864 K
svchost.exe                   2872 Services                   0     17.880 K
svchost.exe                   2884 Services                   0     26.520 K
svchost.exe                   3000 Services                   0     11.248 K
ParameterService.exe          3048 Services                   0     13.092 K
svchost.exe                   3240 Services                   0     15.032 K
svchost.exe                   3292 Services                   0     17.460 K
svchost.exe                   3464 Services                   0      9.784 K
svchost.exe                   3600 Services                   0     14.192 K
svchost.exe                   3608 Services                   0      5.940 K
svchost.exe                   3736 Services                   0     15.964 K
svchost.exe                   3796 Services                   0      8.724 K
spoolsv.exe                   3888 Services                   0     15.104 K
svchost.exe                   3956 Services                   0      8.672 K
svchost.exe                   4020 Services                   0     16.560 K
ETDService.exe                2196 Services                   0      8.328 K
svchost.exe                   2208 Services                   0     15.120 K
svchost.exe                   3120 Services                   0     26.068 K
svchost.exe                   3188 Services                   0     30.292 K
svchost.exe                   3264 Services                   0     24.024 K
svchost.exe                   3492 Services                   0     17.132 K
svchost.exe                   2760 Services                   0     11.888 K
svchost.exe                   3564 Services                   0      1.240 K
svchost.exe                   3584 Services                   0      2.520 K
AdminService.exe              3408 Services                   0      6.144 K
svchost.exe                   4228 Services                   0     15.024 K
mfemms.exe                    4248 Services                   0     10.108 K
GfExperienceService.exe       4260 Services                   0      9.176 K
svchost.exe                   4296 Services                   0        980 K
IntelCpHDCPSvc.exe            4344 Services                   0      6.488 K
PEFService.exe                4416 Services                   0      9.896 K
ModuleCoreService.exe         4432 Services                   0      8.544 K
NvNetworkService.exe          4440 Services                   0      8.520 K
MsMpEng.exe                   4456 Services                   0    185.676 K
svchost.exe                   4600 Services                   0      4.636 K
IntelCpHeciSvc.exe            4752 Services                   0      8.316 K
CCDMonitorService.exe         4864 Services                   0      3.148 K
MMSSHOST.exe                  4924 Services                   0     34.820 K
svchost.exe                   4992 Services                   0      4.932 K
svchost.exe                   5012 Services                   0     14.600 K
mfevtps.exe                   5064 Services                   0     11.160 K
ProtectedModuleHost.exe       1616 Services                   0     13.520 K
svchost.exe                   5800 Services                   0      2.272 K
svchost.exe                   5956 Services                   0     15.584 K
ModuleCoreService.exe         5520 Services                   0     46.128 K
conhost.exe                   5564 Services                   0      5.124 K
svchost.exe                   5624 Services                   0      6.572 K
servicehost.exe               6332 Services                   0     18.312 K
mcapexe.exe                   6384 Services                   0      2.460 K
